Epoch,Total_Waiting_Time,Avg_Wait_Time_per_Step,Avg_Queue_Length,Throughput
1,14846487.0,29692.974,60.0,335
2,15214434.0,30428.868,60.0,331
3,13478658.0,26957.316,60.0,335
4,15346449.0,30692.898,60.0,330
5,15713070.0,31426.14,60.0,327
6,15633750.0,31267.5,60.0,330
7,16996701.0,33993.402,60.0,335
8,17730438.0,35460.876,60.0,330
9,17312541.0,34625.082,60.0,325
10,16221567.0,32443.134,60.0,330
11,16121148.0,32242.296,60.0,333
12,14523273.0,29046.546,60.0,333
13,16099800.0,32199.6,60.0,330
14,15798567.0,31597.134,60.0,332
15,15894303.0,31788.606,60.0,332
16,16724553.0,33449.106,60.0,330
17,13958982.0,27917.964,60.0,336
18,14051190.0,28102.38,60.0,334
19,16623591.0,33247.182,60.0,333
20,13762194.0,27524.388,60.0,336
21,14351415.0,28702.83,60.0,332
22,13761156.0,27522.312,60.0,333
23,14068845.0,28137.69,60.0,330
24,13878345.0,27756.69,60.0,331
25,15744375.0,31488.75,60.0,328
26,14875878.0,29751.756,60.0,333
27,14262981.0,28525.962,60.0,337
28,12888441.0,25776.882,60.0,339
29,10321875.0,20643.75,60.0,342
30,12308751.0,24617.502,60.0,335
31,12289368.0,24578.736,60.0,336
32,11571855.0,23143.71,60.0,334
33,11916261.0,23832.522,60.0,336
34,11541951.0,23083.902,60.0,338
35,11223615.0,22447.23,60.0,341
36,12979704.0,25959.408,60.0,333
37,11487603.0,22975.206,60.0,339
38,11503293.0,23006.586,60.0,341
39,11810922.0,23621.844,60.0,342
40,11783238.0,23566.476,60.0,342
41,12071895.0,24143.79,60.0,343
42,12482664.0,24965.328,60.0,337
43,10882929.0,21765.858,60.0,343
44,9424005.0,18848.01,60.0,339
45,11104581.0,22209.162,60.0,338
46,11690763.0,23381.526,60.0,334
47,12647241.0,25294.482,60.0,341
48,12621345.0,25242.69,60.0,339
49,12539649.0,25079.298,60.0,337
50,13442763.0,26885.526,60.0,336
